Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,3949.750000,3970.000000,3872.550049,3880.699951,3760.245117,1039646
2020-04-30,3933.100098,4093.750000,3895.050049,3936.300049,3814.119385,2178030
2020-05-04,3850.000000,4006.000000,3848.199951,3939.000000,3816.735596,1415487
2020-05-05,3980.000000,3986.350098,3806.000000,3833.899902,3714.897705,795726
2020-05-06,3851.000000,3880.000000,3805.050049,3852.500000,3732.920166,955903
2020-05-07,3908.899902,3936.550049,3818.550049,3837.649902,3718.531250,916267
2020-05-08,3900.100098,4132.200195,3900.100098,3984.000000,3860.338867,2003458
2020-05-11,3977.800049,3977.800049,3848.050049,3862.000000,3742.125732,1194988
2020-05-12,3863.199951,3909.600098,3759.149902,3773.399902,3656.275391,1078497
2020-05-13,3849.000000,3849.000000,3735.100098,3779.600098,3662.283203,878435
2020-05-14,3790.000000,3819.949951,3718.600098,3732.000000,3616.160645,897141
2020-05-15,3746.000000,3778.899902,3717.050049,3735.100098,3619.164307,899387
2020-05-18,3760.149902,3762.550049,3613.850098,3679.149902,3564.950928,990876
2020-05-19,3700.149902,3722.000000,3660.100098,3699.600098,3584.766357,935404
2020-05-20,3720.899902,3930.000000,3693.149902,3910.199951,3788.829346,4216709
2020-05-21,3950.000000,3954.149902,3825.500000,3847.500000,3728.075439,1734424
2020-05-22,3840.600098,3910.000000,3811.000000,3892.850098,3772.017822,1010510
2020-05-26,3899.000000,3939.000000,3853.449951,3864.300049,3744.354492,827376
2020-05-27,3864.750000,3900.000000,3814.000000,3883.000000,3762.473877,861668
2020-05-28,3895.000000,3910.800049,3842.500000,3887.750000,3767.076172,792562
2020-05-29,3880.000000,4090.699951,3869.300049,4071.250000,3944.880371,1926224
2020-06-01,4077.600098,4092.350098,3941.050049,3953.550049,3830.833740,1369771
2020-06-02,3985.000000,4007.300049,3886.000000,3895.300049,3774.392090,1490208
2020-06-03,3928.800049,3990.000000,3911.250000,3962.399902,3839.409180,738826
2020-06-04,3959.899902,4057.000000,3956.649902,3998.899902,3874.775879,1199450
